vault_address,nav_start,nav_end,annualized_return,sharpe,mdd,win_rate,freq,metrics_mode,balance,time_in_market,avg_hold_days,trader_age_hours
0xa7bb99a56c80276c95cbd231cc1f222c465755f9,2613.380214,115702.34822399952,61.17,0.08,-2.49,0.6,D,full,115702.34822399952,0.98,167.75,8055.645435179999
0x65dfa218376939c7e18a6fb8e264ed261b5f9e92,270714.3707009984,116664.8037479958,-0.57,0.61,-0.94,0.51,D,full,116664.8037479958,0.99,366.5833333333333,8800.759567839166
0xbeebbbe817a69d60dd62e0a942032bc5414dae1c,4000.0,101723.55573800016,355.47,1.74,-0.26,0.52,D,full,101723.55573800016,0.91,180.04166666666666,4842.222189686944
0x76a03e6ff35418307d80b3921d546cc32bab3c94,497999.59772399993,934004.2881239996,6.91,2.72,-0.23,0.53,D,full,934004.2881239996,1.0,108.25,2665.316313695556
0x22a60014185f1486afb045219f76e4007fb71e4e,101000.0,102673.0422969998,0.05,0.6,-0.04,0.54,D,full,102673.0422969998,0.21,23.5,2983.7424919969444
0x494b62d7dc3b0b221fd6149f4b15374736219c05,100000.0,99876.7275340005,-0.01,0.43,-0.44,0.47,D,full,99876.7275340005,0.94,2.800925925925926,1506.42537452
0xf36e402dbc9e6e904e719f680dc056c9d57cca24,1188.560147,101244.858924,-1.0,-13.51,0.0,1.0,D,full,101244.858924,1.0,1.25,52.55447980388889
0x006ca0540c0a77ca0a44a5e597ab5aa89c17b13c,9909.256076999998,98617.1073800003,1220.12,2.13,-0.25,0.5,D,full,98617.1073800003,0.94,3.9444444444444446,2833.048540515
0xfb7b73ff7c93f5552541de37454ffa0f8b76462a,504150.0929849999,99028.17606399977,-1.0,-3.99,-0.83,0.44,D,full,99028.17606399977,1.0,18.75,1373.7235893908337
0x65aee08c9235025355ac6c5ad020fb167ecef4fe,118803.860173,44402.56361800117,-0.59,-0.85,-1.07,0.39,D,full,44402.56361800117,1.0,225.125,9617.745717014168
0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,94808.202193,76814.48380099727,-0.33,1.24,-0.94,0.51,D,full,76814.48380099727,1.0,190.75,4578.8961881449995
0x232bdfba499c936de117afaf09e9670667526b1c,103821.99907999986,77809.02581999962,-1.0,-5.96,-0.3,0.29,D,full,77809.02581999962,1.0,17.833333333333332,429.6537997080556
0x50e2fe552727a4b8692c192b4f96d1a6b0d44394,39940.207715,80433.20669100009,3.5,3.48,-0.07,0.58,D,full,80433.20669100009,1.0,170.29166666666666,4090.1848717727776
